379: [76.85915259170817,9.387067643784171]
380: [76.82846058742149,9.361062148324343]
381: [76.81839641756409,9.350859759205674]
382: [76.81065539904213,9.340220371035599]
383: [76.78736105533456,9.26831285318653]
384: [76.78473021169079,9.254498631163251]
385: [76.78362882381008,9.225532266107196]
386: [76.78605457571582,9.213604203533366]
387: [76.82253446202763,9.165205110010167]
388: [76.83006142616054,9.150561386979192]
389: [76.8390866690249,9.123521416772407]
390: [76.85135806907398,9.09513032916377]
391: [76.85932204196118,9.082328261974295]
392: [76.90231221898607,9.024315344771171]
393: [76.91364286917336,8.99728870382044]
394: [76.91988559439476,8.970681228547361]
395: [76.91956453563938,8.956421079545654]
396: [76.91644316057787,8.943984619940604]
397: [76.90281616959736,8.921796106078377]
398: [76.89581977847538,8.882194850566076]
399: [76.89594467354254,8.869321426879077]
400: [76.89882522875261,8.856474740182243]
401: [76.91903831755538,8.815263765696468]
402: [76.92146405510435,8.803326768795271]
403: [76.94305948914695,8.75982819842213]
404: [76.94960552011722,8.749764036131383]
405: [76.95706107654657,8.740172512563163]
406: [76.96822219746537,8.729229881921315]
407: [77.02908453626411,8.673629349117634]
408: [77.05516132622574,8.641189382530362]
409: [77.05850119627829,8.627419688883299]
410: [77.05966055041696,8.600754226428196]
411: [77.07166442318288,8.545657584858795]
412: [77.07546359823759,8.532810954997768]
413: [77.08672279530163,8.508981461486224]
414: [77.09555635536103,8.49847142484479]
415: [77.11686635904373,8.482079721780336]
416: [77.13025704525388,8.476666393390264]
417: [77.15978969513098,8.46907695965695]
418: [77.19762958401718,8.456484480718915]
419: [77.23676263670167,8.455400954795426]
420: [77.27084356464839,8.452431199835072]
421: [77.28555864298689,8.453916078758418]
422: [77.29978764876478,8.458161111304412]
423: [77.32878066256524,8.462071713382992]
424: [77.38146051425761,8.453965120740367]
425: [77.43210696461476,8.427629620385902]
426: [77.52328666242823,8.387109822908233]
427: [77.56177762175275,8.36279879034934]
428: [77.6002730881319,8.352672143638602]
429: [77.63622228765198,8.392630127287527]
430: [77.63156699773636,8.416557710862232]
431: [77.6227023424368,8.491082623029286]
432: [77.61621878629913,8.513164137276434]
433: [77.61593782667326,8.538955582886974]
434: [77.60462070797212,8.56192437936889]
435: [77.5889425059635,8.580322683456686]
436: [77.531326451122,8.618033271847693]
437: [77.49398148701763,8.651596922454491]
438: [77.47828092093008,8.671827882574517]
439: [77.45836661255548,8.719651734785534]
440: [77.41906854791604,8.78217277777747]
441: [77.4023647483403,8.825849656578885]
442: [77.39724567906057,8.850218641971383]
443: [77.39396828019136,8.87228677693797]
444: [77.39343320550503,8.898497329486108]
445: [77.390128983472,8.92746367038174]
446: [77.39006206420555,8.954129113238862]
447: [77.38723950745114,8.976197139446294]
448: [77.38717705375063,9.000566202906208]
449: [77.39309879351778,9.024021036769218]
450: [77.40226665716425,9.046093564811992]
451: [77.41457382179551,9.101270525084074]
452: [77.4223415566719,9.128399634570755]
453: [77.4254896941214,9.158284602480839]
454: [77.42495905615147,9.183567679635589]
455: [77.4216771023423,9.208846329465933]
456: [77.42569923415171,9.256656823114508]
457: [77.45509366562413,9.317345170155763]
458: [77.46378889968845,9.343087510581427]
459: [77.47434806869978,9.366074195291649]
460: [77.52169032526132,9.457093409103502]
461: [77.5345236441963,9.504431195499567]
462: [77.53862596606021,9.526949656096539]
463: [77.54313856779025,9.577043232521522]
464: [77.54257226084692,9.626213724260385]
465: [77.54807032234784,9.648727731074516]
466: [77.55912004756125,9.668949753929322]
467: [77.58116135147017,9.737874032881093]
468: [77.59071277124404,9.815988582715272]
469: [77.58973618211715,9.839416722160127]
470: [77.59200141178779,9.866982842635725]
471: [77.59565784271568,9.889956123893931]
472: [77.60714004409505,9.934520413605288]
473: [77.61212976680255,9.984136812828327]
474: [77.60502645279398,10.07510250909165]
475: [77.60173560250524,10.100818158495313]
476: [77.59567122000448,10.126087863434426]
477: [77.5891475489765,10.148597410848888]
478: [77.55377803530922,10.241382406941096]
479: [77.53933942865606,10.284555412040158]
480: [77.51654892815559,10.326355027349456]
481: [77.50862963449234,10.348851184303067]
482: [77.49420884185197,10.362812604822938]
483: [77.47215865767735,10.375440803641062]
484: [77.464270426802,10.377692674912325]
485: [77.45821499527156,10.382700176931376]
486: [77.44243870066457,10.384898550988536]
487: [77.42849064227146,10.391707578315591]
488: [77.37261364821798,10.426247802765628]
489: [77.34281793553986,10.443045182308731]
490: [77.30980721879659,10.45660531066404]
491: [77.25219116639944,10.475043768587929]
492: [77.23171050407507,10.485005396111331]
493: [77.21353965112273,10.496813075057453]
494: [77.17149482161875,10.534166990401694]
495: [77.14476245536406,10.569326954798724]
496: [77.11656759476763,10.610435433854343]
497: [77.08662031358678,10.66552984640617]
498: [77.05667294444105,10.720624229749827]
499: [77.04197574112706,10.754031854340043]
500: [77.03717777478266,10.771431223783974]
501: [77.03177780335655,10.803532311557346]
502: [77.03143446016334,10.840707832130192]
503: [77.03740522456249,10.945857942685828]
504: [77.05187942711018,11.03777339119427]
505: [77.07292192845016,11.123298882256586]
506: [77.08241084773013,11.152737932442335]
507: [77.0987712955063,11.192334760219238]
508: [77.1141418084352,11.24064012540473]
509: [77.1251067967032,11.261366049340527]
510: [77.14160097761753,11.287188696199758]
511: [77.16782497739501,11.319494905348844]
512: [77.22541876078073,11.37818113129002]
513: [77.25454108513314,11.398581526476683]
514: [77.26792736886703,11.40968019895809]
515: [77.33669111511863,11.474381825101434]
516: [77.35143295180384,11.49237426499229]
517: [77.35784952768518,11.502973553356144]
518: [77.38353847628977,11.56378677591824]
519: [77.38440794718987,11.586737767978217]
520: [77.39452568716843,11.63403097361552]
521: [77.41487252987572,11.680410063126041]
522: [77.42086115279079,11.703829292170685]
523: [77.42218551357698,11.73183689515676]
524: [77.41747215950963,11.757084297825916]
525: [77.4080947049523,11.779112287989452]
526: [77.39499830732173,11.798839382876084]
527: [77.3791283906516,11.814901048281506]
528: [77.35952620431883,11.830026334608787]
529: [77.33807348533988,11.843327836709578]
530: [77.31707555247651,11.852950543381963]
531: [77.27324703282653,11.867134940217325]
532: [77.22521140436305,11.884973579099155]
533: [77.17717570904274,11.90281223144928]
534: [77.10489817278992,11.921981910591418]
535: [77.0811221775843,11.925611577675467]
536: [77.0555180413726,11.921892722414935]
537: [77.03553237504502,11.910834143370902]
538: [76.99227904843347,11.89284611361718]
539: [76.9504482776782,11.868878452585221]
540: [76.92765775628209,11.86331799261132]
541: [76.89972154604433,11.860495332268044]
542: [76.8759902010679,11.854466600102047]
543: [76.82998565717105,11.832768645857087]
544: [76.81094972040067,11.819409179287517]
545: [76.79051817056587,11.807409711769889]
546: [76.74870959692744,11.787553362904058]
547: [76.72638733297025,11.780601648565101]
548: [76.70359687350714,11.776851511740137]
549: [76.6802980652133,11.78091374535273]
550: [76.66066019487184,11.794621044304145]
551: [76.64660066434597,11.812479751443377]
552: [76.60620121943096,11.874768964273397]
553: [76.56369704589675,11.893894031973769]
554: [76.4991827430839,11.932224408978835]
555: [76.48696040571788,11.950992827916917]
556: [76.47036805667555,11.997287202437844]
557: [76.4475329767851,11.99949894106801]
558: [76.42558086216563,12.004916740371216]
559: [76.4105626269277,12.022757601904377]
560: [76.39923643214588,12.044286105948762]
561: [76.39349318717224,12.069052003197836]
562: [76.38015150576788,12.11305884772328]
563: [76.36419690153366,12.12951741607123]
564: [76.34591454556079,12.143220229585504]
565: [76.33645677901326,12.16474876638914]
566: [76.33164097718188,12.187213689539876]
567: [76.3336564388831,12.235893691760955]
568: [76.34282439730299,12.258421099796525]
569: [76.37571916824237,12.294825128196303]
570: [76.39053228309373,12.31463691532244]
571: [76.39879052330986,12.3362457482427]
572: [76.40236675785938,12.359214620968766]
573: [76.39895555390501,12.382152225307518]
574: [76.3922713399618,12.405999448446474]
575: [76.37003380529639,12.454567965847884]
576: [76.36635061907539,12.471753351106871]
577: [76.36505742123099,12.500443255499771]
578: [76.3676972377273,12.525253674421107]
579: [76.37313735940322,12.55051895518795]
580: [76.39600360294826,12.626363816996152]
581: [76.40145712390743,12.650723893405548]
582: [76.40363318881133,12.675980168050076]
583: [76.39099155387576,12.826501593764696]
584: [76.38523046377507,12.849889576203397]
585: [76.37435019941532,12.870049170968684]
586: [76.34557569456607,12.909405199151813]
587: [76.32721752588965,12.925854865108429]
588: [76.31025509051273,12.945515044730147]
589: [76.25895758299802,12.993481573633801]
590: [76.24015800953737,13.006711758055108]
591: [76.21808548942818,13.019001015814961]
592: [76.19603075122174,13.028530118287277]
593: [76.17307085860705,13.033930110668738]
594: [76.14968731470606,13.032886679816833]
595: [76.12258942238148,13.028159998664714]
596: [76.0978012573853,13.027107663380503]
597: [76.06976242596204,13.02328625110654]
598: [76.04544694155072,13.022238299706318]
599: [76.02155059869858,13.026688462361564]
600: [76.00737961549032,13.045434588532313]
601: [75.99922837690329,13.069727755185518]
602: [76.00089162482168,13.09682126217825]
603: [76.0145587095311,13.143730969058302]
604: [76.02279467007679,13.167190318022845]
605: [76.03478968885047,13.191126796130172]
606: [76.04351172693173,13.213676483803923]
607: [76.0517298496672,13.239895943014195]
608: [76.05201968693216,13.26285142708606]
609: [76.04620945769942,13.288531395490795]
610: [76.03665809202577,13.313270443030081]
611: [76.02153280087032,13.331097978332211]
612: [75.96073290054393,13.379425718610385]
613: [75.94745822567204,13.399094794504451]
614: [75.9420938699508,13.425679917554444]
615: [75.93982869261865,13.474346600051199]
616: [75.93683660358984,13.496365605276695]
617: [75.9263309598124,13.520645423653248]
618: [75.91445189789187,13.540314528675237]
619: [75.86060380799825,13.590960947715136]
620: [75.84076532497002,13.607829746960505]
621: [75.82096689844533,13.62056937941761]
622: [75.78176243852324,13.654298066903667]
623: [75.71674432860394,13.690153711605351]
624: [75.70062914548352,13.707954439828189]
625: [75.70700115580652,13.73004484973597]
626: [75.71853690363162,13.750320375096155]
627: [75.72865453917547,13.774729434804629]
628: [75.7496345935986,13.84145540874035]
629: [75.75459318173898,13.865360667795027]
630: [75.75834769496032,13.91866030155943]
631: [75.7709714614492,13.977533852546859]
632: [75.76608422701953,14.001381143715303]
633: [75.74783317842386,14.047653193369902]
634: [75.7415012092536,14.072419051295325]
635: [75.7080758352758,14.133285807338718]
636: [75.70130247027652,14.155741799499564]
637: [75.69920216936393,14.181453000426188]
638: [75.7001564761767,14.23106940126089]
639: [75.69805172120489,14.255857584940488]
640: [75.69876969848592,14.28112281046157]
641: [75.71011362216854,14.326222202879654]
642: [75.69399841093706,14.340812368870935]
643: [75.67973375626345,14.358630876630302]
644: [75.66123744835143,14.375967910249155]
645: [75.61450157194436,14.39722892759602]
646: [75.59137663348365,14.405794835723455]
647: [75.56639235046183,14.412505756683549]
648: [75.53761327180725,14.423787272673737]
649: [75.4907971572379,14.44917294828879]
650: [75.46861317442912,14.457734446754737]
651: [75.44920268559424,14.470451793315375]
652: [75.4292660981485,14.488680603451053]
653: [75.411202232936,14.507832390976512]
654: [75.39732999373565,14.530698663829034]
655: [75.39193002440621,14.552708841203433]
656: [75.40061189227242,14.578504751603976]
657: [75.4076528164616,14.62771980484815]
658: [75.4045804890151,14.651593874483124]
659: [75.37596643824969,14.68766795240262]
660: [75.36258464971799,14.706855526552204]
661: [75.35156179616433,14.726533515902895]
662: [75.33486241550264,14.748454402186802]
663: [75.29815511631186,14.791819160718186]
664: [75.28375224874081,14.817891549663416]
665: [75.27364347030165,14.839411184286012]
666: [75.25950810243208,14.883404686029284]
667: [75.24772709403861,14.92835238985664]
668: [75.24324124187027,14.951290027849014]
669: [75.24059255824471,14.978387965573168]
670: [75.2328114660983,15.000375801485113]
671: [75.20922723213668,15.045684739356885]
672: [75.17997556184201,15.091403886511424]
673: [75.16089503928177,15.11237951768036]
674: [75.14140877271436,15.126470290330591]
675: [75.11916236606704,15.134090906210531]
676: [75.09506093076426,15.138929032670331]
677: [75.04596622769841,15.143548619827765]
678: [75.02790235775085,15.157180065383308]
679: [75.01822616397024,15.177776658734324]
680: [75.00962900202867,15.228262641944625]
681: [75.00081776518093,15.255302655087434]
682: [74.99014267926754,15.282329187223416]
683: [74.9775992738839,15.30519994476657]
684: [74.96130567062717,15.326657155986746]
685: [74.92076351478804,15.363516099263876]
686: [74.90171872889212,15.377593461748297]
687: [74.87846450719279,15.38840233742983]
